Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_1206_3216Metric",155.500000,-85.500000,0.000000,top
"C2","10uF","C_1206_3216Metric",146.825000,-68.500000,0.000000,top
"CBOOT1","100nF","C_0805_2012Metric",142.000000,-76.500000,0.000000,top
"D1","D_Schottky","D_SMA",148.000000,-79.000000,0.000000,top
"DBOOT1","D_Schottky","D_SOD-123",137.000000,-76.500000,0.000000,top
"L1","100uH","L_7.3x7.3_H3.5",148.200000,-85.500000,0.000000,top
"PULSE1","Conn_01x02","TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",137.000000,-61.000000,0.000000,top
"Q1","Q_NMOS_DGS","TO-252-2",151.000000,-73.500000,0.000000,top
"RBOOT1","2.2","R_0805_2012Metric",132.587500,-72.500000,180.000000,top
"U2","LTC4440EMS8","MSOP-8-1EP_3x3mm_P0.65mm_EP1.68x1.88mm",141.080000,-72.970000,0.000000,top
"Vin1","Conn_01x02","TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",134.000000,-85.000000,0.000000,top
"Vout1","Conn_01x02","TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",147.000000,-95.000000,0.000000,top
